user_input,reference_contexts,reference,synthesizer_name
What is the focus of the '1. Intro to Sustainable SE' section?,['1. Intro to Sustainable SE \n2. Intro to the course\n2'],The '1. Intro to Sustainable SE' section serves as an introduction to the topic of sustainable software engineering.,single_hop_specifc_query_synthesizer
What is environmental-responsible?,"['Buzz words\n• Eco-friendly\n• Climate change, action, adaption\n• Energy eﬃciency\n• Environmental-responsible\n• Carbon-neutral; Climate-neutral; Net zero\n• Carbon-oﬀsetting\n• Carbon-free\n• Clean technology\n• E-waste\n5']",Environmental-responsible is a buzzword.,single_hop_specifc_query_synthesizer
What is Sustainable Software Engineering?,['https://www.menti.com/uns9d89kzn\nWhat is Sustainable \nSoftware Engineering?\n?\n6'],"Sustainable Software Engineering refers to the practice of developing software in a way that considers long-term maintainability, environmental impact, and efficient use of resources.",single_hop_specifc_query_synthesizer
What is Sustainable Software Engineering?,['Sustainable Software \nEngineering is…\n7\n…the  discipline that studies the process of creating software systems that are able \nto create value in the long term without hindering its surrounding environment.'],Sustainable Software Engineering is the discipline that studies the process of creating software systems that are able to create value in the long term without hindering its surrounding environment.,single_hop_specifc_query_synthesizer
What role does the social aspect play in software engineering?,['8\nEconomical\nSocial\nTechnical\nIndividual\nEnvironmental\nSustainable\nSoftware\nEngineering\n⭐\nTechnical\u2028\n⚙\nEconomical\u2028\n💰\nSocial\u2028\n👩💼\n👨💼\n👩💼\n👩💼\nIndividual\u2028\n👩💻\nEnvironmental\u2028\n🌱\nSustainable\u2028\nSoftware \nEngineering'],"The social aspect is one of the key dimensions in software engineering, alongside economical, technical, individual, environmental, and sustainable aspects.",single_hop_specifc_query_synthesizer
What economical factors are important in software projects?,"['Economical\n• Focused on assets, capital and added value\u2028\n(wealth creation, prosperity, proﬁtability, capital \ninvestment, income, etc.)\n• Nr of customers \n• Man-day-rate estimate\n• Next round of funding\n• Meet requirements in the contract\n9']","Economical factors include assets, capital, added value, number of customers, man-day-rate estimate, next round of funding, and meeting requirements in the contract.",single_hop_specifc_query_synthesizer
What is the relevance of Bus factor to software sustainability?,"['Technical\n• Longevity of information, systems, and infrastructure and their \nadequate evolution with changing surrounding conditions.\n• Examples:\n• Technical Debt\n• Does it scale?\n• Software testing\n• Bus-factor\n• Data integrity\n• Innovation\n• …\n10']",Bus-factor is a relevant consideration in software sustainability.,single_hop_specifc_query_synthesizer
What is Democrazy?,"['Social\n• concerned with societal communities (groups of people, \norganisations) and the factors that erode trust in society.\n• Examples:\n• Social equity\n• Justice\n• Employment\n• Democracy\n• …\n• Also includes compliance with policies and regulations \n12']","Democracy is a societal factor that contributes to social equity, justice, and employment, all of which are important in maintaining trust within society.",single_hop_specifc_query_synthesizer
What is the relationship between Environmental Sustainability and Green Software in the context of software engineering?,"['Environmental Sustainability\n• the branch of Software Engineering that studies \nthe development of software that has minimal \nimpact in our planet throughout its whole \nlifecycle.\n• Looking at software at diﬀerent levels:\n• Developing, Using, Serving, …\n• Also includes e-waste.\n• Almost identical to Green Software. (?)\n13\n Bordallo II']","Environmental Sustainability in software engineering is focused on creating software with minimal environmental impact throughout its lifecycle, which is almost identical to the concept of Green Software.",single_hop_specifc_query_synthesizer
Why is Green Software important for computer science students?,"['Green Software\n• Sustainability and energy eﬃciency.\n• Building energy-eﬃcient software is important also from a \ntechnical sustainability POV.\n• Smartphones, smart wearables, IoT devices, etc. run on limited \npower resources.\n• Developing software to these devices require energy-eﬃciency \ntesting and improvement.\n• It also leads to environmental sustainability (e.g., less battery \ncycles)\n• Important for UX (e.g., no need to walk around with power banks)\n14']","Green Software is important because it focuses on sustainability and energy efficiency, which is crucial for developing software for devices with limited power resources. It also contributes to environmental sustainability and improves user experience.",single_hop_specifc_query_synthesizer
